Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0402_1005Metric,112.72,-103.7,180.0,top
C2,0.1u,C_0402_1005Metric,120.0,-90.5,-90.0,top
C3,0.1u,C_0402_1005Metric,118.02,-94.4,0.0,top
C4,10u,C_0402_1005Metric,112.75,-97.3,180.0,top
C5,0.1u,C_0402_1005Metric,116.04,-94.4,180.0,top
J1,I2C/VDCG,PinSocket_1x04_P2.54mm_Horizontal,112.8,-90.16,0.0,top
R1,4.7k,R_0603_1608Metric,117.5,-86.8,90.0,top
R2,4.7k,R_0603_1608Metric,115.9,-86.8,90.0,top
SW1,SW_SPDT,SW_SSSS811101,125.0,-93.25,90.0,top
U1,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,117.25,-91.0,0.0,top
U2,AMS1117-1.8,SOT-223-3_TabPin2,117.5,-100.5,-90.0,top
